CustomerID,NumTransactions,TotalQuantity,AvgUnitPrice,Cluster
12346.0,2,0,1.04,0
12347.0,7,2458,2.644010989010989,0
12348.0,4,2341,5.764838709677419,0
12349.0,1,631,8.289041095890411,0
12350.0,1,197,3.841176470588235,0
12352.0,11,470,23.274736842105263,0
12353.0,1,20,6.074999999999999,0
12354.0,1,530,4.5037931034482765,0
12355.0,1,240,4.203846153846154,0
12356.0,3,1591,3.201186440677966,0
12357.0,1,2708,3.3486259541984733,0
12358.0,2,248,8.27421052631579,0
12359.0,6,1612,8.760275590551181,0
12360.0,3,1165,3.5496899224806198,0
12361.0,1,91,3.335,0
12362.0,13,2212,3.9536131386861313,0
12363.0,2,408,2.3117391304347827,0
12364.0,4,1506,1.910235294117647,0
12365.0,3,173,30.347826086956523,0
12367.0,1,173,3.2,0
12370.0,4,2353,2.800299401197605,0
12371.0,2,591,3.8742857142857146,0
12372.0,3,794,3.001346153846154,0
12373.0,1,197,4.582142857142857,0
12374.0,1,342,4.21969696969697,0
12375.0,3,177,6.644444444444445,0
12377.0,2,944,2.718831168831169,0
12378.0,1,2529,2.9974429223744297,0
12379.0,3,406,2.84390243902439,0
12380.0,5,1126,3.3869523809523807,0
12381.0,6,783,4.582857142857143,0
12383.0,6,1529,3.0936000000000003,0
12384.0,3,121,7.575666666666667,0
12386.0,2,354,2.391,0
12388.0,6,1462,2.7777,0
12390.0,1,353,3.996875,0
12391.0,1,300,2.4599,0
12393.0,4,816,2.2796875,0
12394.0,2,819,3.3707407407407404,0
12395.0,15,2113,3.959685534591195,3
12397.0,2,1263,3.4682539682539684,0
12398.0,1,1394,1.992705882352941,0
12399.0,4,1178,2.1145762711864404,0
12401.0,1,11,9.68,0
12402.0,1,94,3.290909090909091,0
12403.0,2,95,8.9,0
12405.0,1,857,3.5442592592592597,0
12406.0,3,1809,2.8332407407407407,0
12407.0,5,1416,3.2674025974025973,0
12408.0,9,1399,3.128141592920354,0
12409.0,7,5543,3.526666666666667,0
12410.0,3,209,6.320357142857143,0
12412.0,3,829,2.7137704918032783,0
12413.0,5,282,5.25725,0
12414.0,3,300,8.57,0
12415.0,26,77242,3.2131362467866325,1
12417.0,12,1539,5.4254040404040405,0
12418.0,1,407,3.5644117647058824,0
12420.0,1,345,4.707241379310345,0
12421.0,5,483,4.438695652173913,0
12422.0,3,370,3.26025641025641,0
12423.0,9,1327,2.897222222222222,0
12424.0,2,740,2.780666666666667,0
12425.0,1,496,2.5644444444444443,0
12426.0,1,258,3.9363333333333332,0
12427.0,5,236,4.604857142857142,0
12428.0,12,3503,4.7293,0
12429.0,4,1557,3.6307216494845362,0
12430.0,1,117,6.225454545454546,0
12431.0,18,2868,3.7583333333333333,3
12432.0,5,1801,10.550833333333333,0
12433.0,7,11071,2.1927380952380955,3
12434.0,4,373,3.669074074074074,0
12435.0,2,2055,5.479166666666667,0
12436.0,1,211,5.2675,0
12437.0,19,2918,4.027114427860697,3
12438.0,2,1180,3.894897959183673,0
12441.0,1,121,3.700909090909091,0
12442.0,1,182,3.34,0
12444.0,5,1155,6.32276836158192,0
12445.0,1,62,7.9875,0
12446.0,1,352,4.277586206896552,0
12447.0,1,190,3.5742307692307693,0
12448.0,1,243,5.951818181818182,0
12449.0,4,1553,3.694712041884817,0
12450.0,2,128,1.6175,0
12451.0,6,6455,2.445577464788732,0
12452.0,3,183,4.3334782608695654,0
12453.0,1,473,2.393255813953488,0
12454.0,2,0,7.282,0
12455.0,6,2089,3.173333333333334,0
12456.0,4,1616,3.5765116279069766,0
12457.0,12,695,5.181911764705882,0
12458.0,2,506,4.326315789473685,0
12461.0,2,287,4.258857142857143,0
12462.0,4,514,4.616944444444445,0
12463.0,7,757,3.067159090909091,0
12464.0,8,112,11.832758620689654,0
12465.0,3,475,2.706274509803922,0
12468.0,3,364,3.47675,0
12471.0,49,7965,4.269058380414313,3
